@timestamp,system.auth.ssh.event,system.auth.ssh.method,user.name,source.ip,source.geo.country_iso_code
"Jul 24, 2023 @ 11:51:33.000",Failed,password,root,61.177.172.179,CN
"Jul 24, 2023 @ 11:51:30.000",Failed,password,root,61.177.172.179,CN
"Jul 24, 2023 @ 11:38:59.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:38:56.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:38:51.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:38:48.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:38:45.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:38:37.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 11:38:34.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 11:38:25.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 11:38:23.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 11:38:22.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 11:38:20.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 11:38:18.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 11:38:13.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 11:38:10.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 11:38:07.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 11:31:40.000",Invalid,-,(empty),64.62.197.95,US
"Jul 24, 2023 @ 11:26:45.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 11:26:41.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 11:26:34.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 11:26:31.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 11:26:28.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 11:22:21.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 11:22:18.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 11:22:12.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 11:22:08.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 11:22:00.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:21:58.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 11:21:58.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:21:52.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:21:48.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:21:46.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:21:45.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:21:44.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:21:37.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:21:34.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:21:31.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 11:15:26.000",Invalid,-,NL5xUDpV2xRa,138.97.36.147,BR
"Jul 24, 2023 @ 11:10:14.000",Failed,password,root,218.92.0.34,CN
"Jul 24, 2023 @ 11:10:11.000",Failed,password,root,218.92.0.34,CN
"Jul 24, 2023 @ 11:09:58.000",Failed,password,root,218.92.0.34,CN
"Jul 24, 2023 @ 11:09:55.000",Failed,password,root,218.92.0.34,CN
"Jul 24, 2023 @ 11:09:52.000",Failed,password,root,218.92.0.34,CN
